00 ACCESS1-0 r1i1p1
01 ACCESS1-3 r1i1p1
02 BCC-CSM1-1 r1i1p1
03 BCC-CSM1-1-M r1i1p1
04 CanESM2 r1i1p1
05 CCSM4 r1i1p1
06 CESM1-BGC r1i1p1
07 CESM1-CAM5 r1i1p1
08 CMCC-CM r1i1p1
09 CMCC-CMS r1i1p1
10 CNRM-CM5 r1i1p1
11 CSIRO-Mk3-6-0 r1i1p1
12 EC-EARTH r8i1p1
13 FIO-ESM r1i1p1
14 GFDL-CM3 r1i1p1
15 GFDL-ESM2G r1i1p1
16 GFDL-ESM2M r1i1p1
17 GISS-E2-H r1i1p1
18 GISS-E2-H r1i1p2
19 GISS-E2-H r1i1p3
20 GISS-E2-H-CC r1i1p1
21 GISS-E2-R r1i1p1
22 GISS-E2-R r1i1p2
23 GISS-E2-R r1i1p3
24 GISS-E2-R-CC r1i1p1
25 HadGEM2-AO r1i1p1
26 HadGEM2-CC r1i1p1
27 HadGEM2-ES r2i1p1
28 INMCM4 r1i1p1
29 IPSL-CM5A-LR r1i1p1
30 IPSL-CM5A-MR r1i1p1
31 IPSL-CM5B-LR r1i1p1
32 MIROC5 r1i1p1
33 MPI-ESM-LR r1i1p1
34 MPI-ESM-MR r1i1p1
35 MRI-CGCM3 r1i1p1
36 NorESM1-M r1i1p1
37 NorESM1-ME r1i1p1
